id	text	categoria	secondary_cat
1	Un uomo non dovrebbe mai ammettere quando gli altri feriscono i suoi sentimenti.	RE	
2	Gli uomini non dovrebbero essere troppo pronti a dire agli altri che tengono a loro.	RE	
3	Gli uomini dovrebbero mantenere il distacco nelle situazioni emotivamente cariche.	RE	
4	Un uomo non dovrebbe reagire quando altre persone piangono.	RE	
5	Non si dovrebbe poter capire come si sente un uomo guardandolo in faccia.	RE	
6	I padri dovrebbero insegnare ai figli a mascherare la paura.	RE	
7	Essere un po’ giù di morale non è una buona ragione perché un uomo si comporti come se fosse depresso.	RE	
8	Un uomo dovrebbe evitare in ogni caso di reggere la borsa della moglie.	RE	
9	Gli uomini non dovrebbero chiedere in prestito soldi ad amici o familiari.	RE	
10	Potrei trovare un po’ sciocco o imbarazzante se un mio amico maschio piangesse per una storia d’amore triste.	RE	AF
11	Un uomo non dovrebbe continuare un’amicizia con un altro uomo se scopre che l’altro è omosessuale.	RE	NTSM
12	Un uomo non dovrebbe preoccuparsi del sesso se non può raggiungere l’orgasmo.	RE	
13	Gli uomini dovrebbero avere competenze nel fai-da-te.	SRTMS	
14	Gli uomini dovrebbero essere in grado di riparare la maggior parte delle cose in casa.	SRTMS	
15	Un uomo dovrebbe sapere come riparare la propria auto se si guasta.	SRTMS	
16	Tutti i locali per omosessuali dovrebbero essere chiusi.	NTSM	
17	Gli omosessuali non dovrebbero mai baciarsi in pubblico.	NTSM	
18	Gli omosessuali non dovrebbero mai sposarsi.	NTSM	
19	Gli omosessuali dovrebbero essere esclusi dalla professione di insegnante.	NTSM	
20	Agli omosessuali non dovrebbe essere permesso di prestare servizio nell’esercito.	NTSM	
21	È deludente scoprire che un atleta famoso è gay.	NTSM	
22	Gli uomini non dovrebbero mai complimentarsi o flirtare con un altro uomo.	NTSM	
23	Gli uomini non dovrebbero mai tenersi per mano o mostrare affetto l’uno verso l’altro.	NTSM	
24	Un uomo non dovrebbe continuare un’amicizia con un altro uomo se scopre che l’altro è omosessuale.	NTSM	RE
25	I bambini dovrebbero giocare con le action figure, non con le bambole.	AF	
26	Gli uomini dovrebbero guardare le partite di calcio invece delle soap opera.	AF	
27	I bambini dovrebbero preferire giocare con i camion piuttosto che con le bambole.	AF	
28	Un uomo dovrebbe preferire guardare film d’azione piuttosto che leggere romanzi romantici.	AF	
29	Gli uomini non dovrebbero indossare trucco, correttore o bronzer.	AF	
30	I bambini non dovrebbero lanciare la palla come le bambine.	AF	
31	Gli uomini non dovrebbero essere interessati ai talk show come "Oprah".	AF	
32	Gli uomini dovrebbero eccellere negli sport di contatto.	AF	
33	Potrei trovare un po’ sciocco o imbarazzante se un mio amico maschio piangesse per una storia d’amore triste.	AF	RE
34	Un uomo dovrebbe essere sempre pronto per il sesso.	IOS	
35	Un uomo non dovrebbe mai rifiutare il sesso.	IOS	
36	Agli uomini dovrebbe piacere sempre fare sesso.	IOS	
37	È accettabile che un uomo usi qualsiasi mezzo per “convincere” una donna ad avere un rapporto sessuale.	IOS	RE
38	Quando la situazione si fa dura, gli uomini dovrebbero farsi duri.	T	
39	Penso che un giovane uomo dovrebbe cercare di essere fisicamente duro, anche se non è grande.	T	
40	Gli uomini dovrebbero alzarsi a controllare se c’è un rumore strano in casa durante la notte.	T	
41	È importante che un uomo si assuma dei rischi, anche se potrebbe farsi male.	T	
42	Un uomo deve essere in grado di farsi strada da solo nel mondo.	T	
43	Gli uomini dovrebbero essere i leader in qualsiasi gruppo.	D	
44	Un uomo dovrebbe essere sempre il capo.	D	
45	Gli uomini dovrebbero prendere la decisione finale su questioni di denaro.	D	
46	Il Presidente degli Stati Uniti dovrebbe essere sempre un uomo.	D	
47	Un uomo dovrebbe fornire la disciplina in famiglia.	D	
48	Un uomo dovrebbe essere sempre il principale sostentatore della famiglia.	D	
49	In un gruppo, spetta agli uomini organizzare le cose e farle andare avanti.	D	
